With the name of Allah	بِسْمِ اللَّهِ;
The Infinitely Merciful, the Extremely Merciful	الرَّحْمَٰنِ الرَّحِيمِ;
And from His signs	وَمِنْ آيَاتِهِ;
The creation of the heavens	خَلْقُ السَّمَاوَاتِ;
That is the creation of you all	أَنْ خَلَقَكُمْ;
From dust	مِنْ تُرَابٍ;
And the differences of your languages	اخْتِلَافُ أَلْسِنَتِكُمْ;
Certainly, in that	إِنَّ فِي ذَٰلِكَ;
Certainly, the signs	لَآيَاتٍ;
